Week,Date,topic
1,1/27/2024,introduction
1,1/29/2024,classification
2,2/3/2024,regression
2,2/5/2024,SVM
3,2/10/2024,decision trees
3,2/12/2024,decision trees
4,2/17/2024,random forest
4,2/19/2024,random forest
5,2/24/2024,KNN
5,2/26/2024,KNN
6,3/3/2024,ANN
6,3/5/2024,ANN
7,3/17/2024,numerical analysis
7,3/19/2024,numerical analysis
8,3/24/2024,deep learning
8,3/26/2024,deep learning
9,3/31/2024,computer vision
9,4/2/2024,computer vision
10,4/7/2024,NLP
10,4/9/2024,NLP
11,4/14/2024,GAN
11,4/16/2024,GAN
12,4/21/2024,LLM
12,4/23/2024,LLM
reading,4/28/2024,
reading,4/30/2024,
